x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,y
-0.949,-0.319,1.422,1.203,0.313,-0.393,0.203,-0.426,0.297,0.293,-1.024,0.061,0.444,-0.415,-0.171,-0.540,0.404,0.754,-0.106,0.092,0.053,-0.015,0.843,0.526,0.304,1.393,-0.273,0.912,0.502,-1.783,0.720,-0.674,0.294,0.503,-0.841,-0.360,0.460,-1.415,-0.592,0.618,0.335,1.003,-0.464,0.927,-1.377,0.722,-0.803,0.731,-1.602,0.930,5.219
-0.857,0.728,-0.590,0.711,-1.257,0.455,0.319,0.199,1.226,1.394,-0.157,0.013,0.040,-0.644,0.110,0.925,-1.226,0.182,1.293,1.234,-1.095,0.704,-0.297,0.896,-1.079,0.480,0.672,-0.891,-1.163,0.639,-0.569,-0.356,-1.147,-0.790,0.610,0.250,-1.255,-1.497,0.125,-0.589,2.199,0.118,0.894,1.621,0.405,-0.330,0.079,-1.555,-0.294,0.044,-1.714
-1.310,-1.022,-0.326,-1.183,-0.354,0.369,0.303,-0.477,-0.116,0.559,-0.630,0.793,-1.052,0.119,-0.146,0.624,-1.070,-0.683,0.059,-0.113,1.335,-0.126,-0.611,0.660,-0.116,1.658,-0.375,-1.417,-0.075,0.206,-1.015,1.215,-1.575,-2.042,-0.055,-0.356,-0.463,-0.813,-0.565,1.805,0.376,-0.256,0.684,0.540,0.593,-0.787,-0.414,0.719,0.088,2.140,3.199
-0.710,0.273,1.573,1.250,0.411,-0.409,-1.433,-2.142,0.711,-1.396,0.063,0.066,-0.452,0.930,0.437,0.233,0.359,0.299,-0.780,0.808,-2.220,0.813,1.057,0.520,-0.281,0.945,-0.001,1.051,-0.215,-0.571,-0.554,-0.166,0.249,1.034,0.583,-0.849,-1.978,-0.497,-0.181,0.878,0.746,0.714,-0.163,1.092,0.168,-0.830,-1.902,-0.261,0.040,0.449,1.161
-0.286,-1.379,-1.744,-2.219,-0.544,-0.436,-0.126,-0.481,-1.055,0.109,-0.119,1.660,1.175,0.939,0.536,-0.225,0.694,-0.472,0.033,0.840,-0.739,0.601,0.409,2.777,1.008,0.874,-0.321,0.926,0.451,-0.426,0.330,1.012,1.466,-1.403,0.287,0.896,0.883,-2.026,0.419,-0.845,0.603,0.775,1.844,0.719,1.164,0.135,0.360,-0.409,-0.502,0.434,-5.079
-0.446,-0.173,0.409,-0.760,-1.277,-1.700,1.125,-0.265,2.114,1.480,0.877,-0.380,2.379,0.696,-0.931,-0.792,0.726,-0.732,0.707,-0.031,2.187,-0.453,1.520,1.067,-1.115,-0.750,1.071,-0.466,-0.280,0.979,1.444,0.045,1.142,-0.339,-0.025,-0.194,-1.055,0.762,-0.398,-0.145,0.640,-0.379,1.173,0.393,-0.404,-0.132,-0.598,-0.404,1.034,0.424,17.138
-1.200,0.869,0.111,0.741,0.076,-1.170,-0.083,-0.455,-0.964,-2.526,-0.017,-0.319,-0.346,-0.026,2.969,0.233,-2.080,2.045,0.970,0.101,1.025,0.587,0.708,-1.296,-0.315,-2.104,0.755,-0.243,-0.592,0.615,-1.148,0.263,0.547,0.023,-1.681,-0.508,0.456,-0.069,1.086,-2.136,-0.773,-1.348,1.111,0.430,0.419,0.410,-0.692,0.488,0.794,0.443,9.941
0.551,-0.165,-0.205,3.068,0.810,0.405,-0.960,0.755,-1.682,1.066,-0.172,-0.110,-0.959,0.427,0.671,-1.168,-0.161,0.447,-0.551,-0.318,0.635,0.972,0.956,-0.027,0.030,1.442,1.514,1.382,-1.276,0.123,-0.584,-0.829,-0.940,-1.388,0.181,0.083,1.016,-0.905,0.105,-0.659,1.483,-0.896,-0.393,0.448,0.914,-0.199,1.404,-1.427,-2.360,-1.159,0.562
1.323,0.175,-0.149,1.716,-0.189,-1.440,-2.325,2.752,-1.145,-0.708,-1.501,-0.347,0.157,-0.637,-0.545,0.687,1.923,-1.848,0.854,-1.690,-0.326,-1.577,-0.559,1.208,0.202,-1.353,0.348,-0.253,1.567,0.308,0.230,-1.083,-1.245,-0.323,1.866,-0.054,-0.471,-0.472,-0.401,0.908,-1.415,1.288,1.963,-0.810,-0.805,-0.743,-3.082,-1.989,0.176,-0.048,34.570
-0.474,-2.116,0.608,-2.146,-0.273,-1.493,-0.390,1.758,0.452,-1.954,1.135,0.757,0.282,1.238,-1.185,0.591,-0.347,1.081,0.740,-1.429,-1.170,1.555,0.148,-0.026,0.292,0.664,-0.868,1.502,-0.229,0.988,-0.456,-0.621,1.042,-0.185,-0.038,-0.973,-0.028,-1.171,-0.871,0.433,0.716,-0.350,0.153,-1.000,1.912,-0.189,-0.463,-0.903,-1.624,0.935,9.044
0.677,-0.215,1.271,0.737,1.526,1.102,0.007,-0.965,-0.311,0.395,-0.103,1.479,1.395,-0.152,0.954,-2.046,-0.262,-0.160,-0.967,2.417,-0.609,1.067,-0.604,0.008,-2.537,0.425,0.117,0.547,-1.273,-1.241,-0.562,-0.919,0.091,-0.489,1.001,-1.249,-0.066,-0.756,-0.331,-1.198,1.349,1.221,0.454,-0.074,-0.618,0.528,-0.479,0.182,-0.806,1.542,5.323
-0.313,-0.533,0.397,-1.318,0.640,-1.194,0.096,-0.941,-0.577,0.737,-0.226,-2.324,-0.758,-1.479,1.364,1.602,1.889,-0.266,-0.232,-2.151,0.142,-0.398,0.473,-0.004,0.806,0.388,0.369,0.651,-0.203,1.461,-2.019,1.900,-0.166,0.073,0.733,-0.104,-0.489,0.273,-1.411,0.997,0.095,0.317,-0.163,-0.281,1.623,-0.119,2.413,-1.605,0.598,0.956,-3.595
0.478,-0.793,-0.173,-0.063,0.304,0.614,1.687,-1.060,-0.854,1.546,-0.252,-0.532,0.300,0.631,-0.058,-1.048,0.737,-1.358,-0.824,-0.577,0.097,0.010,-1.594,1.812,-0.300,0.166,1.641,0.120,-2.709,0.626,0.332,-0.573,-1.122,-0.175,-0.171,-1.967,-0.162,-1.190,0.063,-1.062,0.377,1.929,0.948,0.133,-0.375,-1.596,-0.285,1.287,1.045,-1.349,-2.222
0.358,0.083,-0.790,-0.382,-0.106,-0.082,-0.362,-0.302,1.467,1.378,-0.372,0.395,1.089,0.517,0.021,-0.076,0.616,1.326,-0.773,0.152,-0.802,1.262,-0.372,-1.417,-0.084,0.307,-0.844,0.571,-0.213,0.369,0.569,0.132,1.607,-0.145,0.746,-0.344,-0.482,-1.089,-0.014,-1.840,0.787,0.720,1.578,-0.276,0.943,0.482,2.280,-0.302,-0.257,0.469,-5.227
-0.605,-2.075,-1.527,-0.225,-0.578,-0.287,1.476,0.227,0.231,1.211,-0.376,0.708,0.028,1.242,0.825,-1.166,0.880,-0.301,0.288,-1.879,0.029,-1.300,-0.427,0.529,0.844,0.691,-0.888,0.797,1.203,0.173,0.560,0.741,3.050,0.138,0.253,0.005,1.713,0.203,0.364,0.125,-0.243,0.696,-1.634,-0.215,1.356,0.914,-0.931,1.341,0.447,0.349,-9.246
0.334,-0.510,0.053,-0.362,-0.740,-0.283,0.836,-0.258,-0.163,0.922,1.946,0.638,0.425,0.597,0.049,-0.673,0.555,-1.902,0.783,-0.339,0.401,0.904,0.661,-0.992,-0.709,0.754,-1.224,-0.485,0.017,-0.615,-0.313,-1.270,0.650,0.000,0.504,0.929,-1.583,-0.305,1.155,0.278,0.022,0.131,-0.968,-0.352,-0.676,-0.397,0.736,-2.302,-1.112,-0.280,8.197
-0.484,0.491,0.967,0.284,-1.819,1.182,-1.342,0.241,0.291,-0.431,0.250,-1.020,2.477,0.909,-0.668,-1.661,-0.021,0.744,1.317,-0.021,-1.020,-0.596,-1.029,1.890,0.413,-1.612,-1.294,-0.629,-0.973,-0.902,-1.056,0.635,2.079,0.437,0.806,-0.637,-0.153,-0.794,-0.491,-0.955,1.015,-0.061,-0.189,0.365,0.789,-0.347,0.225,1.375,0.799,-0.123,-5.951
1.893,1.202,-0.310,-0.216,-0.972,1.013,-0.757,-1.617,0.234,2.224,1.184,0.105,-0.338,-0.290,2.188,0.908,0.101,0.079,-0.024,0.225,-0.008,-1.153,0.243,-0.749,0.658,-0.449,0.314,-0.076,0.619,1.592,-0.524,0.880,1.630,1.590,-0.361,-1.655,2.798,0.910,-0.683,1.040,1.287,0.769,0.877,0.942,-0.283,0.681,-0.699,0.230,0.322,-0.659,3.358
0.206,0.859,1.492,0.319,-1.195,0.920,-1.197,-0.120,1.464,0.069,0.486,2.434,0.475,0.120,-0.031,-2.075,-0.294,1.027,-1.090,0.014,-0.271,-0.760,-1.012,0.936,1.963,-1.161,-0.842,-0.625,-0.652,0.623,-2.486,-0.290,2.019,1.021,2.255,-0.165,-0.267,-0.334,0.011,-0.920,0.592,0.069,-1.088,-1.979,1.290,-0.535,-0.079,1.649,0.559,0.717,-0.704
0.184,-1.127,0.534,1.110,-1.416,-0.696,0.216,-0.208,-1.049,1.029,0.975,0.153,0.540,0.839,-1.142,-0.131,0.049,-0.703,2.180,-1.498,0.150,0.065,-1.060,1.351,1.131,-0.518,-1.008,0.104,-0.622,-0.072,-0.198,-0.783,1.069,-0.636,0.078,0.034,0.550,-1.523,0.344,-0.850,1.231,-0.273,-0.139,-0.529,-0.875,0.334,-1.228,1.433,-0.049,-0.415,6.982
-1.014,-1.728,-1.768,1.077,0.805,0.640,-1.566,-0.081,0.234,1.075,1.054,-0.897,0.969,1.825,-2.892,-0.650,-1.316,0.789,-0.192,-0.761,1.896,-0.388,1.537,-0.969,-0.160,1.042,-1.431,-1.220,-0.081,-0.838,-0.966,1.513,0.189,-1.191,3.946,-1.648,0.634,-0.674,0.540,-0.705,-0.451,2.290,-0.385,-0.354,-0.933,-0.248,0.754,-0.026,-1.270,-0.805,15.567
-0.775,-0.321,0.254,1.418,1.479,-0.911,-1.409,2.316,-0.346,-0.132,-2.151,-1.633,0.538,-1.368,-1.006,-0.156,-0.516,-1.042,-0.130,-0.096,0.242,1.362,-1.461,-0.358,-0.550,0.722,0.245,0.324,-1.413,-1.163,0.363,0.572,0.853,-2.274,2.010,1.946,0.608,-1.317,-0.669,-0.777,0.261,-0.699,0.279,0.862,0.204,0.719,-0.387,0.111,-0.180,-0.310,4.887
-0.943,0.181,0.822,0.501,-0.700,-0.030,-1.153,0.241,0.068,0.818,-1.067,-0.494,0.095,0.791,1.161,-0.812,0.003,-3.484,-0.898,-1.892,0.905,1.120,0.233,1.875,1.108,-0.409,-0.378,-2.755,-0.796,0.491,-0.648,-0.857,-0.710,-1.042,-1.544,-0.565,-0.771,1.115,-0.013,-0.173,-1.738,0.244,0.176,1.353,0.386,-0.388,-0.674,0.476,-1.430,0.692,11.267
-0.873,1.872,-0.545,1.207,-0.612,1.521,1.620,-0.231,-0.516,0.187,0.281,-2.122,1.448,0.314,-0.412,-0.746,0.744,0.521,-0.033,-0.985,0.521,-0.540,0.279,0.856,0.174,1.425,1.024,0.404,-0.196,0.813,0.610,-1.800,-0.594,0.372,-0.282,-0.495,0.679,0.326,-0.826,-1.234,-0.276,1.378,0.187,0.062,-0.125,-1.036,1.022,0.374,0.660,0.308,-3.787
-0.071,-0.565,0.467,0.791,-0.249,-1.116,0.139,0.103,-0.091,-0.919,-1.486,-1.518,0.882,-0.318,0.930,0.257,-0.341,-1.851,-0.371,-1.377,-0.583,0.538,-1.849,0.374,0.170,-1.457,0.654,2.441,-0.108,-0.175,1.942,3.618,-1.020,0.878,-0.686,-0.254,1.412,1.503,0.755,-0.458,-0.362,-0.147,-0.860,-1.472,-0.996,0.691,-1.552,1.623,-2.092,0.483,1.989
-1.397,-0.680,0.502,-0.318,1.135,-0.160,-1.197,-1.012,-0.237,1.985,0.691,-1.398,0.006,-0.717,-0.107,-1.085,0.594,-0.840,-0.037,0.108,0.743,-1.018,0.927,-0.365,0.942,1.475,0.437,0.705,0.692,1.518,0.412,-0.575,-0.096,0.434,-0.227,-0.766,0.157,0.209,-1.185,-0.790,-1.013,1.154,-0.418,0.491,0.134,0.850,-0.058,-1.264,-0.282,0.531,11.983
-0.586,0.155,0.475,0.804,1.836,-0.222,0.878,1.539,0.432,-2.104,0.202,1.312,-0.567,-2.128,-0.319,-0.706,-0.118,-2.646,-1.015,-0.113,0.254,-0.893,0.203,-0.834,0.126,-0.087,0.658,1.575,-0.876,0.295,2.177,0.100,-0.155,0.894,0.350,-0.022,-1.160,0.953,-0.747,-0.311,-0.657,-0.426,0.015,1.362,-0.761,-0.232,-1.570,-1.670,-0.058,-0.712,36.276
-0.895,-1.268,0.032,0.453,1.082,0.721,-0.430,0.735,-0.810,-0.947,0.300,-1.055,-0.032,0.708,-0.147,-0.967,-1.124,2.429,0.060,0.361,1.128,-0.095,-0.187,-0.132,0.382,1.600,1.862,0.809,-2.607,2.050,1.164,-0.870,0.019,-0.580,0.735,-0.544,-0.171,-0.738,0.549,0.949,0.940,-1.027,-2.065,1.311,0.501,-1.273,-0.037,-0.934,-0.765,0.687,-0.728
0.536,-0.267,0.020,-1.074,-1.107,-0.794,-0.161,1.864,-0.007,0.508,0.540,0.091,-0.744,0.459,1.106,1.331,-1.704,0.722,-1.704,0.264,-0.579,-0.357,1.599,0.246,-0.323,-0.468,0.225,-1.382,-0.650,0.640,0.552,0.881,0.509,-0.085,-1.272,0.976,0.356,0.815,-1.080,0.549,0.946,-0.020,-0.065,1.505,0.404,-0.373,1.071,-0.696,-0.316,2.074,-1.080
-0.888,-0.296,0.285,-0.130,0.686,0.551,-1.120,0.269,-0.223,2.524,1.905,1.474,-0.089,-1.062,0.194,0.085,0.671,0.787,-0.822,-1.239,-0.494,0.675,-1.049,-0.843,1.070,-0.919,-0.229,0.356,0.365,-0.780,-0.144,-1.529,-0.161,1.485,0.358,-1.119,-0.305,1.208,-0.495,1.398,0.906,-1.319,1.841,1.769,-0.975,1.214,0.689,1.088,2.335,-0.263,3.146
2.864,-1.085,0.131,-1.318,0.402,2.121,-0.257,0.739,-1.305,1.246,0.257,0.519,-0.241,-0.213,-0.210,-0.357,-1.543,1.656,1.162,0.245,-0.727,-0.968,-0.097,-0.809,-0.004,-1.568,0.595,0.817,0.701,0.598,0.339,-1.228,0.455,0.308,-1.444,-0.130,0.157,-0.460,1.292,0.597,0.615,0.553,0.565,0.134,0.845,-1.634,0.163,0.457,-0.712,0.070,15.488
0.615,-0.110,-0.579,0.673,0.870,-0.639,-0.825,-1.970,-0.914,-0.127,-0.290,0.303,1.694,0.787,-1.394,-1.278,0.950,-1.581,0.496,-1.393,0.593,0.494,-0.041,0.239,-0.896,-1.515,-0.954,-0.474,-1.823,0.029,-0.350,0.823,-0.360,1.744,0.015,-0.075,1.020,-0.303,0.483,2.218,-0.979,-0.409,-1.239,1.536,-1.274,0.420,-0.831,0.500,-0.658,1.160,9.108
0.918,-0.203,1.663,1.256,0.991,2.165,-0.498,0.693,0.617,1.847,1.741,0.131,-0.582,-1.346,-0.165,0.859,0.332,-0.429,0.776,1.519,-0.615,-1.690,-0.748,0.446,-1.730,-0.316,0.043,-0.713,0.696,0.396,1.068,0.249,-1.087,0.582,-1.669,0.136,-0.440,0.023,-0.947,-0.986,0.097,0.061,-2.704,-0.478,-0.074,-1.579,-1.861,1.176,-0.392,-0.004,6.401
1.649,2.703,0.041,-0.440,-2.033,-2.544,0.505,0.566,-0.141,-1.487,-0.739,0.147,1.057,-1.158,0.124,-1.451,-1.285,-0.495,-1.396,-0.565,-0.524,-0.619,-0.173,-1.526,-0.130,0.539,0.172,-0.095,-2.454,-0.035,1.077,-0.834,-0.312,0.580,-1.632,-0.802,-0.073,0.306,1.606,-0.806,1.354,-0.664,1.018,-0.067,-1.088,-1.334,0.872,-0.113,0.892,0.368,12.097
-1.822,-0.268,1.588,-0.756,1.284,-0.869,1.070,1.609,-0.493,-0.495,-0.689,-2.483,-0.666,1.986,1.238,-1.591,-0.294,-0.326,-0.442,-0.119,-0.053,0.461,-0.863,-0.015,-1.816,0.492,0.135,0.448,2.126,1.450,0.583,0.240,-0.304,0.458,-0.230,-0.160,1.402,0.261,-0.210,0.235,1.469,-0.525,0.764,-0.419,-0.123,-0.522,0.270,1.647,1.157,-2.576,6.183
-0.839,0.110,0.192,0.351,1.260,0.981,0.513,0.466,0.067,0.028,0.613,0.610,0.584,0.539,-0.769,-1.353,-0.157,-1.769,2.348,0.239,0.514,-2.969,0.196,-0.103,-0.931,1.229,0.571,-0.643,-1.148,0.310,0.738,1.838,0.449,0.378,-0.000,0.607,0.055,-0.311,-0.306,-0.130,-2.209,-1.552,-0.165,0.642,1.808,0.671,-0.207,-1.467,0.424,-0.081,6.166
1.273,-1.536,-0.347,-0.309,0.802,-0.409,-1.561,-0.770,0.872,-1.600,1.440,0.510,-0.203,0.543,-0.719,1.810,-1.584,-2.378,1.198,-0.141,-0.022,1.874,-0.429,0.507,0.084,1.355,1.258,0.260,0.373,-0.359,-1.214,-1.214,2.149,-0.297,-0.293,0.041,0.961,2.124,0.275,2.027,1.231,0.048,0.626,-0.677,-0.736,0.659,-0.516,-0.081,0.315,0.460,18.449
0.171,0.793,-0.005,-0.401,0.570,2.239,-0.556,1.703,-0.655,-0.578,-0.622,0.684,-0.157,0.278,0.161,-0.335,0.189,0.828,-0.787,0.131,0.201,-1.328,-1.032,1.312,-0.827,0.033,-0.156,0.263,0.005,-1.999,-0.016,-0.233,-1.572,0.137,1.453,-0.589,-0.451,0.523,-0.938,1.230,-0.838,-0.507,-0.123,-0.413,0.796,0.540,0.101,-0.275,0.864,0.271,6.701
0.014,0.190,-0.477,0.129,0.614,-0.094,0.657,-0.761,-0.535,-0.058,0.411,-0.778,-0.495,2.053,-0.513,-3.019,-0.551,-0.435,-1.072,-1.362,1.666,0.250,-0.370,0.866,-1.171,-0.572,-0.792,0.081,0.173,0.040,0.758,-0.352,-0.241,-0.086,-0.336,0.751,0.684,-0.675,0.907,0.798,-0.189,0.741,-1.122,1.183,-1.204,0.437,0.880,-0.126,2.500,-0.808,9.424
-0.569,-1.285,-0.472,1.342,1.484,1.604,1.425,-0.728,1.032,-1.176,0.745,1.355,-0.956,0.193,-0.763,1.009,1.694,0.942,0.065,0.154,-1.596,1.303,-0.536,-1.188,-1.327,0.315,-1.478,1.875,0.704,-0.506,1.426,-0.035,-0.507,0.382,-0.582,-0.868,0.316,0.754,-0.080,-1.031,-1.845,0.536,0.328,-0.079,0.624,1.088,1.659,0.224,1.343,-0.232,-2.495
-0.289,2.587,0.975,0.760,1.536,0.391,-0.119,1.408,-0.656,0.986,-2.230,1.876,0.861,0.001,0.726,1.225,0.364,-0.124,-1.224,0.186,1.213,-0.522,-0.137,-0.513,1.146,-0.078,0.128,-0.058,-1.212,-0.447,2.584,0.643,0.050,1.419,0.863,-0.572,-0.225,0.460,-1.160,0.623,0.317,1.425,0.218,0.738,-0.060,1.235,-0.041,0.847,-0.537,0.773,5.576
-0.585,1.634,-0.050,-1.044,0.863,-1.394,0.414,-0.504,-0.082,-0.024,0.509,0.162,-0.089,0.712,-0.823,-0.222,-1.188,0.389,-0.780,-0.024,1.023,-1.999,0.507,0.822,0.839,-0.421,0.381,-0.020,1.305,0.467,0.007,-0.883,0.140,0.296,0.565,0.298,-0.800,-0.873,1.098,-0.645,1.510,-0.508,0.494,1.124,0.478,-0.388,-0.331,-0.017,-0.069,0.090,14.773
-0.624,-1.367,-0.408,-0.932,-0.529,-1.789,-0.369,-2.688,0.599,1.449,0.705,0.535,-0.716,2.390,-0.703,-0.616,0.550,1.724,-0.352,-0.080,1.261,0.659,-0.616,-0.156,0.094,0.328,1.595,-0.838,-0.111,1.368,-0.849,-0.688,-0.106,1.072,0.464,0.591,-0.538,-0.108,-1.510,-0.682,2.419,-0.565,-0.240,0.406,-1.009,-0.415,-0.853,-1.086,0.066,0.421,10.542
0.430,-0.169,-0.605,1.060,0.353,-0.858,-0.901,-0.719,-1.419,-1.691,-0.361,1.970,-0.228,-1.835,0.079,-1.530,0.089,-1.729,0.278,0.644,-0.823,-1.840,1.001,0.730,1.808,-0.687,-0.573,-0.141,-0.788,0.683,0.800,1.287,-2.093,0.048,1.167,-1.338,-1.070,0.721,1.133,-1.572,-3.019,0.153,0.104,3.041,-1.101,-0.139,-0.095,-0.040,0.084,-0.532,8.132
0.168,-1.155,0.654,0.114,1.246,2.015,-0.188,0.368,1.134,2.038,0.320,-1.045,-2.060,1.271,1.095,0.029,-0.854,0.854,0.679,0.436,1.251,0.157,1.205,0.718,0.308,-0.460,-0.683,0.293,-0.859,-0.014,-0.208,0.456,1.204,1.553,0.326,0.099,-1.702,0.610,-0.589,0.940,-1.176,-2.787,0.757,0.874,-0.885,0.235,0.769,-1.551,0.612,-0.843,9.203
0.533,-1.171,-1.318,-0.649,-0.598,1.057,-0.736,0.584,0.428,0.508,1.204,2.140,0.101,-1.178,0.216,0.970,0.415,-0.165,1.925,0.243,-0.687,-0.476,1.314,-0.588,1.521,-1.667,0.024,-0.598,0.590,-1.371,0.119,-0.713,-1.552,-0.007,-0.125,0.877,-0.764,0.066,0.777,0.133,-0.523,0.432,0.431,-1.809,0.801,-0.401,0.378,1.106,-0.663,-1.305,18.991
